customer_name,customer_email,order_id,order_date,product_name,product_price,quantity
Bob Williams,bob@example.com,1000,2024-01-21,Printer,150,3
Charlie Brown,charlie@example.com,1000,2024-01-06,USB Drive,20,1
John Doe,john@example.com,1000,2024-01-06,Headphones,80,3
Charlie Brown,charlie@example.com,1001,2024-01-07,Mouse,25,5
Alice Johnson,alice@example.com,1001,2024-01-19,Mouse,25,5
Jane Smith,jane@example.com,1001,2024-01-17,USB Drive,20,1
Alice Johnson,alice@example.com,1002,2024-01-16,Mouse,25,3
John Doe,john@example.com,1002,2024-01-23,Keyboard,100,5
Alice Johnson,alice@example.com,1002,2024-01-09,Webcam,60,1
Alice Johnson,alice@example.com,1003,2024-01-23,USB Drive,20,5
Charlie Brown,charlie@example.com,1003,2024-01-19,Monitor,300,1
Bob Williams,bob@example.com,1003,2024-01-13,Mouse,25,4
Bob Williams,bob@example.com,1004,2024-01-21,Keyboard,100,4
Jane Smith,jane@example.com,1004,2024-01-12,Mouse,25,2
Charlie Brown,charlie@example.com,1004,2024-01-08,Printer,150,1
Alice Johnson,alice@example.com,1005,2024-01-24,Webcam,60,1
Jane Smith,jane@example.com,1005,2024-01-07,Webcam,60,3
Alice Johnson,alice@example.com,1005,2024-01-26,Laptop,1200,1
John Doe,john@example.com,1006,2024-01-22,Mouse,25,3
Alice Johnson,alice@example.com,1006,2024-01-31,Laptop,1200,1
Alice Johnson,alice@example.com,1006,2024-01-22,Monitor,300,4
Jane Smith,jane@example.com,1007,2024-01-31,Printer,150,5
Bob Williams,bob@example.com,1007,2024-01-26,Webcam,60,3
Charlie Brown,charlie@example.com,1007,2024-01-25,Webcam,60,3
Charlie Brown,charlie@example.com,1008,2024-01-22,Printer,150,4
Charlie Brown,charlie@example.com,1008,2024-01-08,Headphones,80,3
Charlie Brown,charlie@example.com,1008,2024-01-11,Keyboard,100,5
Charlie Brown,charlie@example.com,1009,2024-01-05,Headphones,80,3
Bob Williams,bob@example.com,1009,2024-01-04,USB Drive,20,5
Jane Smith,jane@example.com,1009,2024-01-10,Keyboard,100,3
Bob Williams,bob@example.com,1010,2024-01-29,Mouse,25,1
Jane Smith,jane@example.com,1010,2024-01-26,Headphones,80,2
John Doe,john@example.com,1010,2024-01-20,USB Drive,20,2
Charlie Brown,charlie@example.com,1011,2024-01-31,Laptop,1200,5
John Doe,john@example.com,1011,2024-01-23,Printer,150,4
Jane Smith,jane@example.com,1011,2024-01-28,Headphones,80,5
John Doe,john@example.com,1012,2024-01-01,Webcam,60,2
John Doe,john@example.com,1012,2024-01-23,Monitor,300,4
Jane Smith,jane@example.com,1012,2024-01-01,Headphones,80,4
Charlie Brown,charlie@example.com,1013,2024-01-09,Laptop,1200,2
Charlie Brown,charlie@example.com,1013,2024-01-18,Webcam,60,3
John Doe,john@example.com,1013,2024-01-16,Webcam,60,1
Jane Smith,jane@example.com,1014,2024-01-12,Monitor,300,2
Bob Williams,bob@example.com,1014,2024-01-12,USB Drive,20,5
Jane Smith,jane@example.com,1014,2024-01-27,Monitor,300,5
Bob Williams,bob@example.com,1015,2024-01-12,Mouse,25,2
Charlie Brown,charlie@example.com,1015,2024-01-27,Webcam,60,3
Charlie Brown,charlie@example.com,1015,2024-01-01,USB Drive,20,1
John Doe,john@example.com,1016,2024-01-07,Printer,150,3
Jane Smith,jane@example.com,1016,2024-01-23,Headphones,80,5
Jane Smith,jane@example.com,1016,2024-01-16,Mouse,25,2
Charlie Brown,charlie@example.com,1017,2024-01-17,USB Drive,20,5
Alice Johnson,alice@example.com,1017,2024-01-20,Monitor,300,5
John Doe,john@example.com,1017,2024-01-23,Webcam,60,1
Alice Johnson,alice@example.com,1018,2024-01-24,USB Drive,20,3
John Doe,john@example.com,1018,2024-01-20,Monitor,300,4
Alice Johnson,alice@example.com,1018,2024-01-20,Webcam,60,3
Jane Smith,jane@example.com,1019,2024-01-22,Keyboard,100,4
Jane Smith,jane@example.com,1019,2024-01-31,Monitor,300,3
Charlie Brown,charlie@example.com,1019,2024-01-28,Monitor,300,5
Jane Smith,jane@example.com,1020,2024-01-11,Mouse,25,3
